itemDescription,item,Gemeindenummer_in_der_Schweiz,itemLabel
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q67120,0116,Grüningen
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q67137,0294,Elgg
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q67145,0297,Bauma
Gemeinde im Kanton Zürich Schweiz,http://www.wikidata.org/entity/Q67211,0231,Zell ZH
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q67213,0035,Marthalen
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q67220,0113,Dürnten
Gemeinde im Kanton Zürich Schweiz,http://www.wikidata.org/entity/Q67223,0071,Wil ZH
Gemeinde im Kanton Zürich Schweiz,http://www.wikidata.org/entity/Q67272,0120,Wald
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q67302,0044,Waltalingen
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q67310,0119,Seegräben
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q67346,0182,Wildberg
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q67354,0157,Oetwil am See
Gemeinde im Kanton Zürich Schweiz,http://www.wikidata.org/entity/Q67513,0011,Ottenbach ZH
Gemeinde im Kanton Zürich Schweiz,http://www.wikidata.org/entity/Q67525,0115,Gossau ZH
Gemeinde im Kanton Zürich Schweiz,http://www.wikidata.org/entity/Q67528,0140,Schönenberg
Gemeinde im Kanton Zürich Schweiz,http://www.wikidata.org/entity/Q67534,0038,Rheinau ZH
Gemeinde im Kanton Zürich Schweiz,http://www.wikidata.org/entity/Q67539,0083,Buchs ZH
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q67882,0070,Wasterkingen
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q67884,0098,Schleinikon
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q67887,0101,Steinmaur
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q67894,0097,Rümlang
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q67898,0064,Nürensdorf
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q67902,0036,Oberstammheim
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q67907,0100,Stadel bei Niederglatt
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q67909,0068,Rorbas
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q67912,0063,Lufingen
Gemeinde im Kanton Zürich Schweiz,http://www.wikidata.org/entity/Q67920,0089,Niederglatt ZH
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q67922,0043,Volken
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q67933,0040,Trüllikon
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q67937,0042,Unterstammheim
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q67949,0025,Dachsen
Gemeinde im Kanton Zürich Schweiz,http://www.wikidata.org/entity/Q67951,0086,Dielsdorf ZH
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q67957,0178,Russikon
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q68165,0062,Kloten
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q68210,0131,Adliswil
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q68227,0138,Richterswil
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q68261,0156,Meilen
Gemeinde im Kanton Zürich Schweiz,http://www.wikidata.org/entity/Q68269,0177,Pfäffikon ZH
Gemeinde im Kanton Zürich in der Schweiz,http://www.wikidata.org/entity/Q68286,0295,Horgen
Gemeinde im Kanton Zürich Schweiz,http://www.wikidata.org/entity/Q68290,0002,Affoltern am Albis
Gemeinde im Kanton Zürich in der Schweiz,http://www.wikidata.org/entity/Q68305,0121,Wetzikon
Gemeinde im Kanton Zürich Schweiz,http://www.wikidata.org/entity/Q68342,0241,Aesch ZH
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q68356,0021,Adlikon bei Andelfingen
Gemeinde im Kanton Zürich Schweiz,http://www.wikidata.org/entity/Q68390,0226,Schlatt ZH
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q68393,0037,Ossingen
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q68395,0088,Neerach
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q68399,0058,Glattfelden
Gemeinde im Kanton Zürich Schweiz,http://www.wikidata.org/entity/Q68410,0059,Hochfelden ZH
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q68413,0033,Kleinandelfingen
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q68417,0031,Henggart
Gemeinde im Kanton Zürich Schweiz,http://www.wikidata.org/entity/Q68423,0030,Andelfingen
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q68437,0214,Dägerlen
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q68447,0032,Humlikon
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q68451,0024,Buch am Irchel
Gemeinde im Kanton Zürich Schweiz,http://www.wikidata.org/entity/Q68457,0225,Rickenbach ZH
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q68959,0141,Thalwil
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q69109,0250,Urdorf
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q69148,0247,Schlieren
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q69175,0055,Eglisau
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q69188,0153,Hombrechtikon
Gemeinde im Kanton Zürich Schweiz,http://www.wikidata.org/entity/Q69203,0151,Erlenbach
Gemeinde im Kanton Zürich Schweiz,http://www.wikidata.org/entity/Q69216,0154,Küsnacht
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q69224,0152,Herrliberg
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q69367,0061,Hüntwangen
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q69374,0069,Wallisellen
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q69383,0117,Hinwil
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q69718,0142,Wädenswil
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q69734,0052,Bassersdorf
Gemeinde im Kanton Zürich Schweiz,http://www.wikidata.org/entity/Q69752,0118,Rüti
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q69754,0199,Volketswil
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q69774,0158,Stäfa
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q69887,0051,Bachenbülach
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q69963,0245,Oberengstringen
Gemeinde im Kanton Zürich Schweiz,http://www.wikidata.org/entity/Q70022,0092,Oberglatt ZH
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q70072,0041,Truttikon
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q70088,0102,Weiach
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q70131,0085,Dänikon
Gemeinde im Kanton Zürich Schweiz,http://www.wikidata.org/entity/Q70171,0022,Benken ZH
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q70197,0095,Regensberg
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q70264,0093,Oberweningen
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q70273,0081,Bachs
Gemeinde im Kanton Zürich Schweiz,http://www.wikidata.org/entity/Q70283,0026,Dorf ZH
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q70295,0099,Schöfflisdorf
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q70367,0028,Flaach
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q70369,0172,Fehraltorf
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q70375,0180,Weisslingen
Gemeinde im Kanton Zürich Schweiz,http://www.wikidata.org/entity/Q70377,0060,Höri ZH
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q70381,0215,Dättlikon
Hauptstadt des Kantons Zürich Schweiz,http://www.wikidata.org/entity/Q72,0261,Zürich
Gemeinde im Kanton Zürich Schweiz,http://www.wikidata.org/entity/Q9093,0053,Bülach
Stadt im Kanton Zürich Schweiz,http://www.wikidata.org/entity/Q9125,0230,Winterthur
Gemeinde in der Schweiz und Stadt,http://www.wikidata.org/entity/Q64032,0198,Uster
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q64070,0243,Dietikon
Gemeinde in der Schweiz und Stadt,http://www.wikidata.org/entity/Q64082,0191,Dübendorf
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q64205,0096,Regensdorf
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q64224,0066,Opfikon
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q64589,0006,Kappel am Albis
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q64627,0155,Männedorf
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q64832,0219,Elsau
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q64853,0298,Wiesendangen
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q64857,0195,Maur
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q64869,0193,Fällanden
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q64873,0296,Illnau-Effretikon
Gemeinde im Kanton Zürich in der Schweiz,http://www.wikidata.org/entity/Q64877,0192,Egg
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q64882,0194,Greifensee
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q64945,0001,Aeugst am Albis
Gemeinde im Kanton Zürich Schweiz,http://www.wikidata.org/entity/Q64967,0221,Hettlingen ZH
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q64977,0008,Maschwanden
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q65040,0223,Neftenbach
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q65119,0224,Pfungen
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q65129,0005,Hedingen
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q65164,0054,Dietlikon
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q65231,0004,Hausen am Albis
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q65282,0242,Birmensdorf
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q65347,0136,Langnau am Albis
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q65510,0003,Bonstetten ZH
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q65512,0065,Oberembrach
Gemeinde im Kanton Zürich Schweiz,http://www.wikidata.org/entity/Q65528,0137,Oberrieden
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q65547,0009,Mettmenstetten
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q65671,0087,Hüttikon
Gemeinde im Kanton Zürich Schweiz,http://www.wikidata.org/entity/Q65759,0176,Lindau ZH
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q65769,0218,Ellikon an der Thur
Ortschaft in der Schweiz,http://www.wikidata.org/entity/Q65779,0175,Kyburg
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q65781,0023,Berg am Irchel
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q65792,0222,Hofstetten
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q65795,0216,Dinhard
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q65805,0227,Seuzach
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q65812,0213,Brütten
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q65841,0173,Hittnau
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q65844,0039,Thalheim an der Thur
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q65854,0114,Fischenthal
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q65858,0228,Turbenthal
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q65868,0111,Bäretswil
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q65877,0056,Embrach
Gemeinde im Kanto Zürich Schweiz,http://www.wikidata.org/entity/Q65926,0220,Hagenbuch ZH
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q65929,0211,Altikon
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q65934,0014,Wettswil am Albis
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q65942,0010,Obfelden
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q66062,0013,Stallikon
Gemeinde im Kanton Zürich Schweiz,http://www.wikidata.org/entity/Q66093,0251,Weiningen ZH
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q66156,0094,Otelfingen
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q66283,0027,Feuerthalen
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q66328,0007,Knonau
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q66336,0034,Laufen-Uhwiesen
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q66338,0132,Hirzel
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q66411,0091,Niederweningen
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q66414,0246,Oetwil an der Limmat
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q66457,0067,Rafz
Gemeinde im Kanton Zürich Schweiz,http://www.wikidata.org/entity/Q66588,0072,Winkel ZH
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q66598,0012,Rifferswil
Gemeinde im Kanton Zürich in der Schweiz,http://www.wikidata.org/entity/Q66633,0135,Kilchberg
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q66660,0244,Geroldswil
Ort im Kanton Zürich Schweiz,http://www.wikidata.org/entity/Q66662,0179,Sternenberg
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q66678,0248,Uitikon
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q66747,0196,Mönchaltorf
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q66752,0181,Wila
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q66755,0084,Dällikon
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q66757,0029,Flurlingen
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q66814,0197,Schwerzenbach
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q66819,0139,Rüschlikon
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q66829,0200,Wangen-Brüttisellen
Gemeinde im Kanton Zürich Schweiz,http://www.wikidata.org/entity/Q66892,0134,Hütten ZH
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q66898,0160,Zumikon
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q66964,0057,Freienstein-Teufen
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q67042,0090,Niederhasli
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q67058,0159,Uetikon am See
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q67062,0082,Boppelsen
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q67068,0112,Bubikon
